case,algo,heuristic,ok,pasos,costo,expandidos,ms
45,a*,linear_conflict,True,22,22.0,230,3.4620999940671027
45,greedy,hamming,True,52,52.0,734,4.4027999974787235
45,greedy,manhattan,True,44,44.0,89,0.7656000088900328
45,greedy,linear_conflict,True,36,36.0,49,0.9569000103510916
46,a*,hamming,True,24,24.0,11607,72.48420000541955
46,a*,manhattan,True,24,24.0,711,4.558200016617775
46,a*,linear_conflict,True,24,24.0,339,4.967899993062019
46,greedy,hamming,True,108,108.0,797,4.568500036839396
46,greedy,manhattan,True,78,78.0,447,3.3625999931246042
46,greedy,linear_conflict,True,30,30.0,59,1.0297999833710492
47,a*,hamming,True,24,24.0,15790,92.14119997341186
47,a*,manhattan,True,24,24.0,1033,6.502599979285151
47,a*,linear_conflict,True,24,24.0,603,8.850699989125133
47,greedy,hamming,True,136,136.0,980,4.987900028936565
47,greedy,manhattan,True,64,64.0,456,2.8776999679394066
47,greedy,linear_conflict,True,24,24.0,43,0.7229000329971313
48,a*,hamming,True,20,20.0,2660,14.456800010520965
48,a*,manhattan,True,20,20.0,167,1.0534999892115593
48,a*,linear_conflict,True,20,20.0,68,1.00460002431646
48,greedy,hamming,True,66,66.0,732,4.2486999882385135
48,greedy,manhattan,True,54,54.0,401,2.6313000125810504
48,greedy,linear_conflict,True,36,36.0,121,1.7793999868445098
49,a*,hamming,True,14,14.0,145,0.7045000093057752
49,a*,manhattan,True,14,14.0,67,0.4066999536007643
49,a*,linear_conflict,True,14,14.0,33,0.49569999100640416
49,greedy,hamming,True,68,68.0,522,2.6347999810241163
49,greedy,manhattan,True,48,48.0,386,2.4571000249125063
49,greedy,linear_conflict,True,14,14.0,18,0.31209998996928334
50,a*,hamming,True,18,18.0,1239,6.994900002609938
50,a*,manhattan,True,18,18.0,178,1.233800023328513
50,a*,linear_conflict,True,18,18.0,88,1.2772000045515597
50,greedy,hamming,True,58,58.0,406,2.182000025641173
50,greedy,manhattan,True,52,52.0,397,2.7934000245295465
50,greedy,linear_conflict,True,50,50.0,94,1.5574999852105975
51,a*,hamming,True,24,24.0,12763,78.00199999473989
51,a*,manhattan,True,24,24.0,819,5.032800021581352
51,a*,linear_conflict,True,24,24.0,410,5.68050000583753
51,greedy,hamming,True,158,158.0,1097,6.238900008611381
51,greedy,manhattan,True,40,40.0,409,2.8860000311397016
51,greedy,linear_conflict,True,28,28.0,53,0.9659999632276595
52,a*,hamming,True,16,16.0,344,2.2886000224389136
52,a*,manhattan,True,16,16.0,78,0.5264999927021563
52,a*,linear_conflict,True,16,16.0,56,0.8686999790370464
52,greedy,hamming,True,54,54.0,205,1.220499980263412
52,greedy,manhattan,True,64,64.0,529,3.7972999853082
52,greedy,linear_conflict,True,24,24.0,29,0.5309999687597156
53,a*,hamming,True,22,22.0,5613,31.9584000390023
53,a*,manhattan,True,22,22.0,763,4.4590000179596245
53,a*,linear_conflict,True,22,22.0,348,4.583000030834228
53,greedy,hamming,True,48,48.0,520,2.7248000260442495
53,greedy,manhattan,True,54,54.0,387,2.6305000064894557
53,greedy,linear_conflict,True,60,60.0,114,1.8579000025056303
54,a*,hamming,True,24,24.0,12548,70.99539996124804
54,a*,manhattan,True,24,24.0,859,5.528300011064857
54,a*,linear_conflict,True,24,24.0,459,6.052700045984238
54,greedy,hamming,True,146,146.0,1078,5.9068999835290015
54,greedy,manhattan,True,42,42.0,118,0.9613999864086509
54,greedy,linear_conflict,True,42,42.0,98,1.5035999822430313
55,a*,hamming,True,24,24.0,12774,73.7801999785006
55,a*,manhattan,True,24,24.0,1097,7.392800005618483
55,a*,linear_conflict,True,24,24.0,348,4.432299989275634
55,greedy,hamming,True,76,76.0,746,3.731900011189282
55,greedy,manhattan,True,58,58.0,410,2.709800028242171
55,greedy,linear_conflict,True,48,48.0,71,1.193600008264184
56,a*,hamming,True,22,22.0,5351,30.01139999832958
